rho,gamma,alpha_r,accuracy
0.8,0.0,0.1,53.0
0.8,0.0,0.2,55.00000000000001
0.8,0.0,0.3,45.0
0.8,0.2,0.1,45.0
0.8,0.2,0.2,56.99999999999999
0.8,0.2,0.3,45.0
0.8,0.5,0.1,48.0
0.8,0.5,0.2,40.0
0.8,0.5,0.3,52.0
0.8,0.7,0.1,47.0
0.8,0.7,0.2,42.0
0.8,0.7,0.3,48.0
0.8,0.9,0.1,49.0
0.8,0.9,0.2,45.0
0.8,0.9,0.3,48.0
0.9,0.0,0.1,51.0
0.9,0.0,0.2,47.0
0.9,0.0,0.3,49.0
0.9,0.2,0.1,47.0
0.9,0.2,0.2,50.0
0.9,0.2,0.3,47.0
0.9,0.5,0.1,51.0
0.9,0.5,0.2,42.0
0.9,0.5,0.3,46.0
0.9,0.7,0.1,42.0
0.9,0.7,0.2,44.0
0.9,0.7,0.3,44.0
0.9,0.9,0.1,57.99999999999999
0.9,0.9,0.2,43.0
0.9,0.9,0.3,60.0
0.95,0.0,0.1,50.0
0.95,0.0,0.2,45.0
0.95,0.0,0.3,56.00000000000001
0.95,0.2,0.1,50.0
0.95,0.2,0.2,48.0
0.95,0.2,0.3,46.0
0.95,0.5,0.1,50.0
0.95,0.5,0.2,41.0
0.95,0.5,0.3,44.0
0.95,0.7,0.1,44.0
0.95,0.7,0.2,48.0
0.95,0.7,0.3,51.0
0.95,0.9,0.1,42.0
0.95,0.9,0.2,43.0
0.95,0.9,0.3,40.0
0.98,0.0,0.1,42.0
0.98,0.0,0.2,56.99999999999999
0.98,0.0,0.3,45.0
0.98,0.2,0.1,45.0
0.98,0.2,0.2,45.0
0.98,0.2,0.3,42.0
0.98,0.5,0.1,47.0
0.98,0.5,0.2,42.0
0.98,0.5,0.3,43.0
0.98,0.7,0.1,39.0
0.98,0.7,0.2,52.0
0.98,0.7,0.3,46.0
0.98,0.9,0.1,51.0
0.98,0.9,0.2,44.0
0.98,0.9,0.3,51.0
1.0,0.0,0.1,53.0
1.0,0.0,0.2,56.00000000000001
1.0,0.0,0.3,51.0
1.0,0.2,0.1,62.0
1.0,0.2,0.2,45.0
1.0,0.2,0.3,44.0
1.0,0.5,0.1,48.0
1.0,0.5,0.2,44.0
1.0,0.5,0.3,42.0
1.0,0.7,0.1,46.0
1.0,0.7,0.2,39.0
1.0,0.7,0.3,46.0
1.0,0.9,0.1,51.0
1.0,0.9,0.2,41.0
1.0,0.9,0.3,48.0
1.2,0.0,0.1,79.0
1.2,0.0,0.2,48.0
1.2,0.0,0.3,56.99999999999999
1.2,0.2,0.1,48.0
1.2,0.2,0.2,60.0
1.2,0.2,0.3,55.00000000000001
1.2,0.5,0.1,56.00000000000001
1.2,0.5,0.2,49.0
1.2,0.5,0.3,52.0
1.2,0.7,0.1,46.0
1.2,0.7,0.2,48.0
1.2,0.7,0.3,46.0
1.2,0.9,0.1,46.0
1.2,0.9,0.2,48.0
1.2,0.9,0.3,47.0
1.5,0.0,0.1,71.0
1.5,0.0,0.2,78.0
1.5,0.0,0.3,64.0
1.5,0.2,0.1,40.0
1.5,0.2,0.2,39.0
1.5,0.2,0.3,43.0
1.5,0.5,0.1,54.0
1.5,0.5,0.2,45.0
1.5,0.5,0.3,47.0
1.5,0.7,0.1,51.0
1.5,0.7,0.2,50.0
1.5,0.7,0.3,56.00000000000001
1.5,0.9,0.1,44.0
1.5,0.9,0.2,46.0
1.5,0.9,0.3,44.0
